MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,PARTNER,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_arr,FOR,FR,I553,2015,ASI_OTH,16261,A,F,NR,
occ_arr,FOR,FR,I553,2015,OCE,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,AU,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,OCE_OTH,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,WRL_NAL,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,WORLD,7402432,A,F,NR,
occ_ni,FOR,FR,I551,2015,EUR,48947723,A,F,NR,
occ_ni,FOR,FR,I551,2015,EU28,42449694,A,F,NR,
occ_ni,FOR,FR,I551,2015,BE,5360042,A,F,NR,
occ_ni,FOR,FR,I551,2015,BG,107970,A,F,NR,
occ_ni,FOR,FR,I551,2015,CZ,288315,A,F,NR,
occ_ni,FOR,FR,I551,2015,DK,521903,A,F,NR,
occ_ni,FOR,FR,I551,2015,DE,6385204,A,F,NR,
occ_ni,FOR,FR,I551,2015,EE,45763,A,F,NR,
occ_ni,FOR,FR,I551,2015,IE,619121,A,F,NR,
occ_ni,FOR,FR,I551,2015,EL,237458,A,F,NR,
occ_ni,FOR,FR,I551,2015,ES,4786001,A,F,NR,
occ_ni,FOR,FR,I551,2015,HR,56409,A,F,NR,
occ_ni,FOR,FR,I551,2015,IT,5107447,A,F,NR,
occ_ni,FOR,FR,I551,2015,CY,32024,A,F,NR,
occ_ni,FOR,FR,I551,2015,LV,38278,A,F,NR,
occ_ni,FOR,FR,I551,2015,LT,70099,A,F,NR,
occ_ni,FOR,FR,I551,2015,LU,352747,A,F,NR,
occ_ni,FOR,FR,I551,2015,HU,160593,A,F,NR,
occ_ni,FOR,FR,I551,2015,MT,54917,A,F,NR,
occ_ni,FOR,FR,I551,2015,NL,3100800,A,F,NR,
occ_ni,FOR,FR,I551,2015,AT,460648,A,F,NR,
occ_ni,FOR,FR,I551,2015,PL,669977,A,F,NR,
occ_ni,FOR,FR,I551,2015,PT,704795,A,F,NR,
occ_ni,FOR,FR,I551,2015,RO,392306,A,F,NR,
occ_ni,FOR,FR,I551,2015,SI,51571,A,F,NR,
occ_ni,FOR,FR,I551,2015,SK,103252,A,F,NR,
occ_ni,FOR,FR,I551,2015,FI,274885,A,F,NR,
occ_ni,FOR,FR,I551,2015,SE,688140,A,F,NR,
occ_ni,FOR,FR,I551,2015,UK,11779031,A,F,NR,
occ_ni,FOR,FR,I551,2015,EFTA,3675748,A,F,NR,
occ_ni,FOR,FR,I551,2015,IS,43168,A,F,NR,
occ_ni,FOR,FR,I551,2015,CH_LI,3193381,A,F,NR,
occ_ni,FOR,FR,I551,2015,NO,439199,A,F,NR,
occ_ni,FOR,FR,I551,2015,TR,457723,A,F,NR,
occ_ni,FOR,FR,I551,2015,RU,1373383,A,F,NR,
occ_ni,FOR,FR,I551,2015,UA,0,A,F,NR,
occ_ni,FOR,FR,I551,2015,EUR_OTH,991176,A,F,NR,
occ_ni,FOR,FR,I551,2015,AFR,1602853,A,F,NR,
occ_ni,FOR,FR,I551,2015,ZA,83808,A,F,NR,
occ_ni,FOR,FR,I551,2015,AFR_OTH,1519045,A,F,NR,
occ_ni,FOR,FR,I551,2015,AME,12023559,A,F,NR,
occ_ni,FOR,FR,I551,2015,AME_N,9294104,A,F,NR,
occ_ni,FOR,FR,I551,2015,CA,1117455,A,F,NR,
occ_ni,FOR,FR,I551,2015,US,8176649,A,F,NR,
occ_ni,FOR,FR,I551,2015,AME_N_OTH,0,A,F,NR,
occ_ni,FOR,FR,I551,2015,AME_C_S,2729455,A,F,NR,
occ_ni,FOR,FR,I551,2015,BR,684329,A,F,NR,
occ_ni,FOR,FR,I551,2015,AME_C_S_OTH,2045126,A,F,NR,
occ_ni,FOR,FR,I551,2015,ASI,10768609,A,F,NR,
occ_ni,FOR,FR,I551,2015,CN,3551943,A,F,NR,
occ_ni,FOR,FR,I551,2015,JP,1797989,A,F,NR,
occ_ni,FOR,FR,I551,2015,KR,359555,A,F,NR,
occ_ni,FOR,FR,I551,2015,ASI_OTH,5059121,A,F,NR,
occ_ni,FOR,FR,I551,2015,OCE,1083919,A,F,NR,
occ_ni,FOR,FR,I551,2015,AU,1083919,A,F,NR,
occ_ni,FOR,FR,I551,2015,OCE_OTH,0,A,F,NR,
occ_ni,FOR,FR,I551,2015,WRL_NAL,30263,A,F,NR,
occ_ni,FOR,FR,I551,2015,WORLD,74456927,A,F,NR,
occ_ni,FOR,FR,I552,2015,EUR,16287924,A,F,NR,
occ_ni,FOR,FR,I552,2015,EU28,14130444,A,F,NR,
occ_ni,FOR,FR,I552,2015,BE,3172228,A,F,NR,
occ_ni,FOR,FR,I552,2015,BG,30654,A,F,NR,
occ_ni,FOR,FR,I552,2015,CZ,93165,A,F,NR,
occ_ni,FOR,FR,I552,2015,DK,266599,A,F,NR,
occ_ni,FOR,FR,I552,2015,DE,2330636,A,F,NR,
occ_ni,FOR,FR,I552,2015,EE,6817,A,F,NR,
occ_ni,FOR,FR,I552,2015,IE,145970,A,F,NR,
occ_ni,FOR,FR,I552,2015,EL,22546,A,F,NR,
occ_ni,FOR,FR,I552,2015,ES,1075538,A,F,NR,
occ_ni,FOR,FR,I552,2015,HR,22252,A,F,NR,
occ_ni,FOR,FR,I552,2015,IT,1205521,A,F,NR,
occ_ni,FOR,FR,I552,2015,CY,3521,A,F,NR,
occ_ni,FOR,FR,I552,2015,LV,10438,A,F,NR,
occ_ni,FOR,FR,I552,2015,LT,17489,A,F,NR,
occ_ni,FOR,FR,I552,2015,LU,114160,A,F,NR,
occ_ni,FOR,FR,I552,2015,HU,83421,A,F,NR,
occ_ni,FOR,FR,I552,2015,MT,2246,A,F,NR,
occ_ni,FOR,FR,I552,2015,NL,1522935,A,F,NR,
occ_ni,FOR,FR,I552,2015,AT,83260,A,F,NR,
occ_ni,FOR,FR,I552,2015,PL,161433,A,F,NR,
occ_ni,FOR,FR,I552,2015,PT,176796,A,F,NR,
occ_ni,FOR,FR,I552,2015,RO,115766,A,F,NR,
occ_ni,FOR,FR,I552,2015,SI,28448,A,F,NR,
occ_ni,FOR,FR,I552,2015,SK,39644,A,F,NR,
occ_ni,FOR,FR,I552,2015,FI,40571,A,F,NR,
occ_ni,FOR,FR,I552,2015,SE,196512,A,F,NR,
occ_ni,FOR,FR,I552,2015,UK,3161878,A,F,NR,
occ_ni,FOR,FR,I552,2015,EFTA,1301774,A,F,NR,
occ_ni,FOR,FR,I552,2015,IS,10619,A,F,NR,
occ_ni,FOR,FR,I552,2015,CH_LI,1183426,A,F,NR,
occ_ni,FOR,FR,I552,2015,NO,107730,A,F,NR,
occ_ni,FOR,FR,I552,2015,TR,58166,A,F,NR,
occ_ni,FOR,FR,I552,2015,RU,425516,A,F,NR,
occ_ni,FOR,FR,I552,2015,UA,0,A,F,NR,
occ_ni,FOR,FR,I552,2015,EUR_OTH,372023,A,F,NR,
occ_ni,FOR,FR,I552,2015,AFR,421508,A,F,NR,
occ_ni,FOR,FR,I552,2015,ZA,0,A,F,NR,
occ_ni,FOR,FR,I552,2015,AFR_OTH,421508,A,F,NR,
occ_ni,FOR,FR,I552,2015,AME,1079711,A,F,NR,
occ_ni,FOR,FR,I552,2015,AME_N,775981,A,F,NR,
occ_ni,FOR,FR,I552,2015,CA,119168,A,F,NR,
occ_ni,FOR,FR,I552,2015,US,656812,A,F,NR,
occ_ni,FOR,FR,I552,2015,AME_N_OTH,0,A,F,NR,
occ_ni,FOR,FR,I552,2015,AME_C_S,303730,A,F,NR,
occ_ni,FOR,FR,I552,2015,BR,0,A,F,NR,
occ_ni,FOR,FR,I552,2015,AME_C_S_OTH,303730,A,F,NR,
occ_ni,FOR,FR,I552,2015,ASI,2056384,A,F,NR,
occ_ni,FOR,FR,I552,2015,CN,328348,A,F,NR,
occ_ni,FOR,FR,I552,2015,JP,170757,A,F,NR,
occ_ni,FOR,FR,I552,2015,KR,0,A,F,NR,
occ_ni,FOR,FR,I552,2015,ASI_OTH,1557279,A,F,NR,
occ_ni,FOR,FR,I552,2015,OCE,107412,A,F,NR,
occ_ni,FOR,FR,I552,2015,AU,107412,A,F,NR,
occ_ni,FOR,FR,I552,2015,OCE_OTH,0,A,F,NR,
occ_ni,FOR,FR,I552,2015,WRL_NAL,10802,A,F,NR,
occ_ni,FOR,FR,I552,2015,WORLD,19963741,A,F,NR,
occ_ni,FOR,FR,I553,2015,EUR,35939057,A,F,NR,
occ_ni,FOR,FR,I553,2015,EU28,33983050,A,F,NR,
occ_ni,FOR,FR,I553,2015,BE,4223962,A,F,NR,
occ_ni,FOR,FR,I553,2015,BG,10106,A,F,NR,
occ_ni,FOR,FR,I553,2015,CZ,69727,A,F,NR,
occ_ni,FOR,FR,I553,2015,DK,408016,A,F,NR,
occ_ni,FOR,FR,I553,2015,DE,7355464,A,F,NR,
occ_ni,FOR,FR,I553,2015,EE,2585,A,F,NR,
occ_ni,FOR,FR,I553,2015,IE,315302,A,F,NR,
occ_ni,FOR,FR,I553,2015,EL,3226,A,F,NR,
occ_ni,FOR,FR,I553,2015,ES,1038796,A,F,NR,
occ_ni,FOR,FR,I553,2015,HR,1073,A,F,NR,
occ_ni,FOR,FR,I553,2015,IT,1110311,A,F,NR,
occ_ni,FOR,FR,I553,2015,CY,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,LV,1443,A,F,NR,
occ_ni,FOR,FR,I553,2015,LT,4752,A,F,NR,
occ_ni,FOR,FR,I553,2015,LU,57815,A,F,NR,
occ_ni,FOR,FR,I553,2015,HU,34065,A,F,NR,
occ_ni,FOR,FR,I553,2015,MT,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,NL,12658012,A,F,NR,
occ_ni,FOR,FR,I553,2015,AT,196603,A,F,NR,
occ_ni,FOR,FR,I553,2015,PL,97607,A,F,NR,
occ_ni,FOR,FR,I553,2015,PT,89975,A,F,NR,
occ_ni,FOR,FR,I553,2015,RO,18217,A,F,NR,
occ_ni,FOR,FR,I553,2015,SI,14104,A,F,NR,
occ_ni,FOR,FR,I553,2015,SK,9102,A,F,NR,
occ_ni,FOR,FR,I553,2015,FI,14803,A,F,NR,
occ_ni,FOR,FR,I553,2015,SE,56101,A,F,NR,
occ_ni,FOR,FR,I553,2015,UK,6191884,A,F,NR,
occ_ni,FOR,FR,I553,2015,EFTA,1523068,A,F,NR,
occ_ni,FOR,FR,I553,2015,IS,1160,A,F,NR,
occ_ni,FOR,FR,I553,2015,CH_LI,1500246,A,F,NR,
occ_ni,FOR,FR,I553,2015,NO,21661,A,F,NR,
occ_ni,FOR,FR,I553,2015,TR,1203,A,F,NR,
occ_ni,FOR,FR,I553,2015,RU,51474,A,F,NR,
occ_ni,FOR,FR,I553,2015,UA,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,EUR_OTH,380263,A,F,NR,
occ_ni,FOR,FR,I553,2015,AFR,11771,A,F,NR,
occ_ni,FOR,FR,I553,2015,ZA,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,AFR_OTH,11771,A,F,NR,
occ_ni,FOR,FR,I553,2015,AME,46737,A,F,NR,
occ_ni,FOR,FR,I553,2015,AME_N,40641,A,F,NR,
occ_ni,FOR,FR,I553,2015,CA,18575,A,F,NR,
occ_ni,FOR,FR,I553,2015,US,22066,A,F,NR,
occ_ni,FOR,FR,I553,2015,AME_N_OTH,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,AME_C_S,6096,A,F,NR,
occ_ni,FOR,FR,I553,2015,BR,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,AME_C_S_OTH,6096,A,F,NR,
occ_ni,FOR,FR,I553,2015,ASI,46763,A,F,NR,
occ_ni,FOR,FR,I553,2015,CN,2956,A,F,NR,
occ_ni,FOR,FR,I553,2015,JP,699,A,F,NR,
occ_ni,FOR,FR,I553,2015,KR,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,ASI_OTH,43109,A,F,NR,
occ_ni,FOR,FR,I553,2015,OCE,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,AU,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,OCE_OTH,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,WRL_NAL,0,A,F,NR,
occ_ni,FOR,FR,I553,2015,WORLD,36044329,A,F,NR,
occ_ni,FOR,FR,I551,2016,EUR,46957080,A,F,NR,
occ_ni,FOR,FR,I551,2016,EU28,40712856,A,F,NR,
occ_ni,FOR,FR,I551,2016,BE,5591192,A,F,NR,
occ_ni,FOR,FR,I551,2016,BG,92016,A,F,NR,
occ_ni,FOR,FR,I551,2016,CZ,257648,A,F,NR,
occ_ni,FOR,FR,I551,2016,DK,542490,A,F,NR,
occ_ni,FOR,FR,I551,2016,DE,6154182,A,F,NR,
occ_ni,FOR,FR,I551,2016,EE,43947,A,F,NR,
occ_ni,FOR,FR,I551,2016,IE,675283,A,F,NR,
occ_ni,FOR,FR,I551,2016,EL,241146,A,F,NR,
occ_ni,FOR,FR,I551,2016,ES,4544572,A,F,NR,
occ_ni,FOR,FR,I551,2016,FR,0,A,F,NR,
occ_ni,FOR,FR,I551,2016,HR,65581,A,F,NR,
occ_ni,FOR,FR,I551,2016,IT,4134293,A,F,NR,
occ_ni,FOR,FR,I551,2016,CY,28770,A,F,NR,
occ_ni,FOR,FR,I551,2016,LV,32284,A,F,NR,
occ_ni,FOR,FR,I551,2016,LT,71274,A,F,NR,
occ_ni,FOR,FR,I551,2016,LU,377691,A,F,NR,
occ_ni,FOR,FR,I551,2016,HU,176472,A,F,NR,
occ_ni,FOR,FR,I551,2016,MT,54851,A,F,NR,
occ_ni,FOR,FR,I551,2016,NL,3056475,A,F,NR,
occ_ni,FOR,FR,I551,2016,AT,536887,A,F,NR,
occ_ni,FOR,FR,I551,2016,PL,627892,A,F,NR,
occ_ni,FOR,FR,I551,2016,PT,706736,A,F,NR,
occ_ni,FOR,FR,I551,2016,RO,385784,A,F,NR,
occ_ni,FOR,FR,I551,2016,SI,46724,A,F,NR,
occ_ni,FOR,FR,I551,2016,SK,89296,A,F,NR,
occ_ni,FOR,FR,I551,2016,FI,264757,A,F,NR,
occ_ni,FOR,FR,I551,2016,SE,715339,A,F,NR,
occ_ni,FOR,FR,I551,2016,UK,11199273,A,F,NR,
occ_ni,FOR,FR,I551,2016,EFTA,3611387,A,F,NR,
occ_ni,FOR,FR,I551,2016,IS,78914,A,F,NR,
occ_ni,FOR,FR,I551,2016,CH_LI,3149792,A,F,NR,
occ_ni,FOR,FR,I551,2016,NO,382681,A,F,NR,
occ_ni,FOR,FR,I551,2016,TR,510143,A,F,NR,
occ_ni,FOR,FR,I551,2016,RU,1064587,A,F,NR,
occ_ni,FOR,FR,I551,2016,UA,0,A,F,NR,
occ_ni,FOR,FR,I551,2016,EUR_OTH,1058108,A,F,NR,
occ_ni,FOR,FR,I551,2016,AFR,1682502,A,F,NR,
occ_ni,FOR,FR,I551,2016,ZA,121510,A,F,NR,
occ_ni,FOR,FR,I551,2016,AFR_OTH,1560992,A,F,NR,
occ_ni,FOR,FR,I551,2016,AME,11020688,A,F,NR,
occ_ni,FOR,FR,I551,2016,AME_N,8545476,A,F,NR,
occ_ni,FOR,FR,I551,2016,CA,972520,A,F,NR,
occ_ni,FOR,FR,I551,2016,US,7570667,A,F,NR,
occ_ni,FOR,FR,I551,2016,AME_N_OTH,0,A,F,NR,
occ_ni,FOR,FR,I551,2016,AME_C_S,2475212,A,F,NR,
occ_ni,FOR,FR,I551,2016,BR,949436,A,F,NR,
occ_ni,FOR,FR,I551,2016,AME_C_S_OTH,1525776,A,F,NR,
occ_ni,FOR,FR,I551,2016,ASI,9588897,A,F,NR,
occ_ni,FOR,FR,I551,2016,CN,2839408,A,F,NR,
occ_ni,FOR,FR,I551,2016,JP,1101325,A,F,NR,
occ_ni,FOR,FR,I551,2016,KR,460641,A,F,NR,
